iterationID	ALLZONE	AsiaWS	CAEQ	CatNonGOM	ChinaEQ	EuropeEQ	GMWS	JapanEQ	Noncat	PNWEQ	TaiwanEQ	USEQ
0	764537	0	0	0	0	0	0	0	764537	0	0	0
1	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
2	1.18591e+006	0	0	991973	0	0	0	0	193940	0	0	0
3	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
4	193996	0	0	0	0	0	0	0	193996	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
8	42169.4	0	0	0	0	0	0	0	42169.4	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0
10	1.18187e+006	0	0	0	0	0	0	0	1.18187e+006	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0
12	1.17684e+006	0	0	0	0	0	0	0	1.17684e+006	0	0	0
13	1.14749e+006	0	0	0	0	0	0	0	1.14749e+006	0	0	0
14	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0
16	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0
18	183969	0	0	0	0	0	0	0	183969	0	0	0
19	146459	0	0	0	0	0	0	0	146459	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	462974	0	0	0	0	0	0	0	462974	0	0	0
23	523341	0	0	0	0	0	0	0	523341	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
25	228735	0	0	228735	0	0	0	0	0	0	0	0
26	1.27288e+006	0	0	0	0	0	0	0	1.27288e+006	0	0	0
27	251601	0	0	0	0	0	0	0	251601	0	0	0
28	1.26083e+006	0	0	0	0	0	0	0	1.26083e+006	0	0	0
29	319295	0	0	0	0	0	0	0	319295	0	0	0
30	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
31	109638	0	0	0	0	0	0	0	0	109638	0	0
32	702633	0	0	0	0	0	0	0	702633	0	0	0
33	1.32978e+006	0	0	0	0	0	0	0	1.32978e+006	0	0	0
34	0	0	0	0	0	0	0	0	0	0	0	0
35	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
36	1.14265e+006	0	0	1.125e+006	0	0	0	0	17653.5	0	0	0
37	0	0	0	0	0	0	0	0	0	0	0	0
38	211626	0	0	0	0	0	0	0	211626	0	0	0
39	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
40	1.29545e+006	0	0	1.125e+006	0	0	0	0	170450	0	0	0
41	409494	0	0	0	0	0	0	0	409494	0	0	0
42	564305	0	0	0	0	0	0	0	564305	0	0	0
43	0	0	0	0	0	0	0	0	0	0	0	0
44	0	0	0	0	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0	0	0	0
47	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
48	30134.1	0	0	0	0	0	0	0	30134.1	0	0	0
49	612131	0	0	0	0	0	0	0	612131	0	0	0
50	0	0	0	0	0	0	0	0	0	0	0	0
51	0	0	0	0	0	0	0	0	0	0	0	0
52	239193	0	0	0	0	0	0	0	239193	0	0	0
53	529222	0	0	0	0	0	0	0	529222	0	0	0
54	84212	0	0	0	0	0	0	0	84212	0	0	0
55	0	0	0	0	0	0	0	0	0	0	0	0
56	1.56199e+006	0	0	962146	0	0	0	0	599846	0	0	0
57	0	0	0	0	0	0	0	0	0	0	0	0
58	0	0	0	0	0	0	0	0	0	0	0	0
59	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
60	0	0	0	0	0	0	0	0	0	0	0	0
61	295257	0	0	0	0	0	0	0	295257	0	0	0
62	233101	0	0	0	0	0	0	0	233101	0	0	0
63	0	0	0	0	0	0	0	0	0	0	0	0
64	0	0	0	0	0	0	0	0	0	0	0	0
65	71068.1	0	0	0	0	0	0	0	71068.1	0	0	0
66	1.16857e+006	0	0	0	0	0	0	0	1.16857e+006	0	0	0
67	224027	0	0	0	0	0	0	0	224027	0	0	0
68	0	0	0	0	0	0	0	0	0	0	0	0
69	1.49894e+006	0	0	0	0	0	0	0	1.49894e+006	0	0	0
70	0	0	0	0	0	0	0	0	0	0	0	0
71	1.36451e+006	0	0	0	0	0	0	0	1.36451e+006	0	0	0
72	21433	0	0	0	0	0	0	0	21433	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0
74	150033	0	0	0	0	0	0	0	150033	0	0	0
75	365287	0	0	23975.3	0	0	0	0	341312	0	0	0
76	0	0	0	0	0	0	0	0	0	0	0	0
77	32691.2	0	0	0	0	0	0	0	32691.2	0	0	0
78	1.02445e+006	0	0	1.02445e+006	0	0	0	0	0	0	0	0
79	1.29035e+006	0	0	0	0	0	0	0	1.29035e+006	0	0	0
80	496129	0	0	0	0	0	0	0	496129	0	0	0
81	0	0	0	0	0	0	0	0	0	0	0	0
82	0	0	0	0	0	0	0	0	0	0	0	0
83	1.125e+006	0	0	1.125e+006	0	0	0	0	0	0	0	0
84	0	0	0	0	0	0	0	0	0	0	0	0
85	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
86	342515	0	0	0	0	0	0	0	342515	0	0	0
87	375386	0	0	0	0	0	0	0	375386	0	0	0
88	784360	0	0	0	0	0	0	0	784360	0	0	0
89	0	0	0	0	0	0	0	0	0	0	0	0
90	0	0	0	0	0	0	0	0	0	0	0	0
91	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
92	0	0	0	0	0	0	0	0	0	0	0	0
93	658506	0	0	0	0	0	0	0	658506	0	0	0
94	766559	0	0	0	0	0	0	0	766559	0	0	0
95	318055	0	0	0	0	0	0	0	318055	0	0	0
96	1.36412e+006	0	0	0	0	0	0	0	1.36412e+006	0	0	0
97	0	0	0	0	0	0	0	0	0	0	0	0
98	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
99	15573.7	0	0	0	0	0	0	0	15573.7	0	0	0
100	814680	0	0	725631	0	0	0	0	89049.3	0	0	0
101	0	0	0	0	0	0	0	0	0	0	0	0
102	1.14699e+006	0	0	0	0	0	0	0	1.14699e+006	0	0	0
103	0	0	0	0	0	0	0	0	0	0	0	0
104	0	0	0	0	0	0	0	0	0	0	0	0
105	330239	0	0	0	0	0	0	0	330239	0	0	0
106	0	0	0	0	0	0	0	0	0	0	0	0
107	2.25e+006	0	0	0	0	0	0	0	2.25e+006	0	0	0
108	20668.2	0	0	0	0	0	0	0	20668.2	0	0	0
109	0	0	0	0	0	0	0	0	0	0	0	0
110	235017	0	0	0	0	0	0	0	235017	0	0	0
111	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
112	119906	0	0	0	0	0	0	0	119906	0	0	0
113	0	0	0	0	0	0	0	0	0	0	0	0
114	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
115	2.25e+006	0	0	0	0	0	0	0	2.25e+006	0	0	0
116	0	0	0	0	0	0	0	0	0	0	0	0
117	1.54198e+006	0	0	0	0	0	0	0	1.54198e+006	0	0	0
118	0	0	0	0	0	0	0	0	0	0	0	0
119	151528	0	0	0	0	0	0	0	151528	0	0	0
120	0	0	0	0	0	0	0	0	0	0	0	0
121	0	0	0	0	0	0	0	0	0	0	0	0
122	236406	0	0	0	0	0	0	0	236406	0	0	0
123	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
124	0	0	0	0	0	0	0	0	0	0	0	0
125	30247.5	0	0	0	0	0	0	0	30247.5	0	0	0
126	251093	0	0	0	0	0	0	0	251093	0	0	0
127	218935	0	0	0	0	0	0	0	218935	0	0	0
128	0	0	0	0	0	0	0	0	0	0	0	0
129	617634	0	0	0	0	0	0	0	617634	0	0	0
130	813703	0	0	0	0	0	0	0	813703	0	0	0
131	1.14918e+006	0	0	0	0	0	0	0	1.14918e+006	0	0	0
132	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
133	457609	0	0	0	0	0	0	0	457609	0	0	0
134	1.20452e+006	0	0	0	0	0	0	0	1.20452e+006	0	0	0
135	0	0	0	0	0	0	0	0	0	0	0	0
136	1.43519e+006	0	0	0	0	0	0	0	1.43519e+006	0	0	0
137	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
138	0	0	0	0	0	0	0	0	0	0	0	0
139	0	0	0	0	0	0	0	0	0	0	0	0
140	1.20784e+006	0	0	0	0	0	0	0	1.20784e+006	0	0	0
141	1.93193e+006	0	0	0	0	0	0	0	1.93193e+006	0	0	0
142	0	0	0	0	0	0	0	0	0	0	0	0
143	0	0	0	0	0	0	0	0	0	0	0	0
144	908846	0	0	0	0	0	0	0	908846	0	0	0
145	2.30402e+006	0	0	0	0	0	0	0	2.30402e+006	0	0	0
146	3.41344e+006	0	0	0	0	0	0	0	3.41344e+006	0	0	0
147	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
148	0	0	0	0	0	0	0	0	0	0	0	0
149	0	0	0	0	0	0	0	0	0	0	0	0
150	2.12634e+006	0	0	0	0	0	0	0	2.12634e+006	0	0	0
151	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
152	0	0	0	0	0	0	0	0	0	0	0	0
153	0	0	0	0	0	0	0	0	0	0	0	0
154	0	0	0	0	0	0	0	0	0	0	0	0
155	1.00979e+006	0	0	0	0	0	0	0	1.00979e+006	0	0	0
156	0	0	0	0	0	0	0	0	0	0	0	0
