_numIter = 100000
iterationID	sequenceID	eventID	loss	reinstatementPrem	riskGroup	fullRip
0	9000001	9000002	764537.219	0	Noncat	0
1	9000001	9000002	1125000.045	0	Noncat	0
2	233001	5001001	991972.629	0	CatNonGOM	0
2	9000001	9000002	193939.804	0	Noncat	0
3	9000001	9000002	1125000.045	0	Noncat	0
4	9000001	9000002	193996.246	0	Noncat	0
7	9000001	9000002	1125000.045	0	Noncat	0
8	9000001	9000002	42169.402	0	Noncat	0
10	9000001	9000002	1181872.372	0	Noncat	0
12	9000001	9000002	1176836.238	0	Noncat	0
13	9000001	9000002	1147485.354	0	Noncat	0
14	9000001	9000002	1125000.045	0	Noncat	0
16	9000001	9000002	1125000.045	0	Noncat	0
18	9000001	9000002	183969.101	0	Noncat	0
19	9000001	9000002	146459.235	0	Noncat	0
22	9000001	9000002	462974.041	0	Noncat	0
23	9000001	9000002	523340.53	0	Noncat	0
25	233004	5001001	228735.476	0	CatNonGOM	0
26	9000001	9000002	1272880.733	0	Noncat	0
27	9000001	9000002	251600.643	0	Noncat	0
28	9000001	9000002	1260833.225	0	Noncat	0
29	9000001	9000002	319294.872	0	Noncat	0
30	9000001	9000002	1125000.045	0	Noncat	0
31	25022	25228003	109638.117	0	PNWEQ	0
32	9000001	9000002	702633.099	0	Noncat	0
33	9000001	9000002	1329777.921	0	Noncat	0
35	9000001	9000002	1125000.045	0	Noncat	0
36	275005	5001001	1125000.045	0	CatNonGOM	0
36	9000001	9000002	17653.513	0	Noncat	0
38	9000001	9000002	211625.547	0	Noncat	0
39	9000001	9000002	1125000.045	0	Noncat	0
40	32008	5001001	1125000.045	0	CatNonGOM	0
40	9000001	9000002	170450.153	0	Noncat	0
41	9000001	9000002	409493.885	0	Noncat	0
42	9000001	9000002	564305.137	0	Noncat	0
47	9000001	9000002	1125000.045	0	Noncat	0
48	9000001	9000002	30134.097	0	Noncat	0
49	9000001	9000002	612130.685	0	Noncat	0
52	9000001	9000002	239193.184	0	Noncat	0
53	9000001	9000002	529221.569	0	Noncat	0
54	9000001	9000002	84211.973	0	Noncat	0
56	248005	5001001	962146.368	0	CatNonGOM	0
56	9000001	9000002	599846.457	0	Noncat	0
59	9000001	9000002	1125000.045	0	Noncat	0
61	9000001	9000002	295257.255	0	Noncat	0
62	9000001	9000002	233100.89	0	Noncat	0
65	9000001	9000002	71068.102	0	Noncat	0
66	9000001	9000002	1168572.954	0	Noncat	0
67	9000001	9000002	224026.616	0	Noncat	0
69	9000001	9000002	1498944.705	0	Noncat	0
71	9000001	9000002	1364511.958	0	Noncat	0
72	9000001	9000002	21432.999	0	Noncat	0
74	9000001	9000002	150032.603	0	Noncat	0
75	208004	5001001	23975.328	0	CatNonGOM	0
75	9000001	9000002	341311.598	0	Noncat	0
77	9000001	9000002	32691.191	0	Noncat	0
78	12008	5001001	1024454.72	0	CatNonGOM	0
79	9000001	9000002	1290345.092	0	Noncat	0
80	9000001	9000002	496128.533	0	Noncat	0
83	43005	5001001	1125000.045	0	CatNonGOM	0
85	9000001	9000002	1125000.045	0	Noncat	0
86	9000001	9000002	342514.517	0	Noncat	0
87	9000001	9000002	375385.821	0	Noncat	0
88	9000001	9000002	784359.96	0	Noncat	0
91	9000001	9000002	1125000.045	0	Noncat	0
93	9000001	9000002	658506.086	0	Noncat	0
94	9000001	9000002	766558.913	0	Noncat	0
95	9000001	9000002	318054.788	0	Noncat	0
96	9000001	9000002	1364123.227	0	Noncat	0
98	9000001	9000002	1125000.045	0	Noncat	0
99	9000001	9000002	15573.74	0	Noncat	0
100	201003	5001001	725630.553	0	CatNonGOM	0
100	9000001	9000002	89049.317	0	Noncat	0
102	9000001	9000002	1146989.354	0	Noncat	0
105	9000001	9000002	330238.774	0	Noncat	0
107	9000001	9000002	2250000.09	0	Noncat	0
108	9000001	9000002	20668.203	0	Noncat	0
110	9000001	9000002	235017.007	0	Noncat	0
111	9000001	9000002	1125000.045	0	Noncat	0
112	9000001	9000002	119905.797	0	Noncat	0
114	9000001	9000002	1125000.045	0	Noncat	0
115	9000001	9000002	2250000.09	0	Noncat	0
117	9000001	9000002	1541975.845	0	Noncat	0
119	9000001	9000002	151527.733	0	Noncat	0
122	9000001	9000002	236405.907	0	Noncat	0
123	9000001	9000002	1125000.045	0	Noncat	0
125	9000001	9000002	30247.517	0	Noncat	0
126	9000001	9000002	251093.457	0	Noncat	0
127	9000001	9000002	218935.181	0	Noncat	0
129	9000001	9000002	617633.791	0	Noncat	0
130	9000001	9000002	813703.488	0	Noncat	0
131	9000001	9000002	1149179.078	0	Noncat	0
132	9000001	9000002	1125000.045	0	Noncat	0
133	9000001	9000002	457608.972	0	Noncat	0
134	9000001	9000002	1204520.585	0	Noncat	0
136	9000001	9000002	1435188.051	0	Noncat	0
137	9000001	9000002	1125000.045	0	Noncat	0
140	9000001	9000002	1207839.731	0	Noncat	0
141	9000001	9000002	1931925.445	0	Noncat	0
144	9000001	9000002	908846.176	0	Noncat	0
145	9000001	9000002	2309595.42	5578.122	Noncat	0
146	9000001	9000002	3533587.736	120143.797	Noncat	0
147	9000001	9000002	1125000.045	0	Noncat	0
150	9000001	9000002	2126336.994	0	Noncat	0
151	9000001	9000002	1125000.045	0	Noncat	0
155	9000001	9000002	1009793.144	0	Noncat	0
