eventId	deterministicLoss	expectedLoss	SD	0.5	0.8	0.9	0.96	0.98	0.99	0.995	0.996	0.999	0.9998	0.9999
15542152	2e+007	1.99813e+007	498162	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542305	2e+007	1.99997e+007	26255	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542402	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542554	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542590	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542606	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542624	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542667	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542700	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542775	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542788	2e+007	1.87294e+007	4.39278e+006	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542807	2e+007	1.94619e+007	2.83697e+006	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542849	2e+007	1.99751e+007	586526	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542911	2e+007	1.99942e+007	301342	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542916	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542944	2e+007	1.97557e+007	1.88101e+006	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542953	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15542986	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15543149	2e+007	1.83887e+007	4.99023e+006	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15543186	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15543205	2e+007	1.85259e+007	4.69076e+006	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15543213	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15543383	2e+007	1.99992e+007	62438.6	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15543949	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15547385	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15548929	801688	762269	2.40543e+006	2468.14	429549	1.90545e+006	5.60661e+006	9.22994e+006	1.3523e+007	1.85593e+007	2e+007	2e+007	2e+007	2e+007
15549161	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15550543	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15560440	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15561024	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15562741	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15563571	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
