	expectedLoss	SD	0.5 OEP	0.75 OEP	0.8 OEP	0.9 OEP	0.95 OEP	0.96 OEP	0.96667 OEP	0.98 OEP	0.99 OEP	0.995 OEP	0.996 OEP	0.998 OEP	0.999 OEP	0.9998 OEP	0.9999 OEP	1 OEP	0.5 AEP	0.75 AEP	0.8 AEP	0.9 AEP	0.95 AEP	0.96 AEP	0.96667 AEP	0.98 AEP	0.99 AEP	0.995 AEP	0.996 AEP	0.998 AEP	0.999 AEP	0.9998 AEP	0.9999 AEP	1 AEP	0.5 TVaR	0.75 TVaR	0.8 TVaR	0.9 TVaR	0.95 TVaR	0.96 TVaR	0.96667 TVaR	0.98 TVaR	0.99 TVaR	0.995 TVaR	0.996 TVaR	0.998 TVaR	0.999 TVaR	0.9998 TVaR	0.9999 TVaR	1 TVaR
ALLZONE	551553	707152	0	-0	0	-0	0	75058.1	195124	725631	1.125e+006	1.125e+006	1.125e+006	1.125e+006	1.125e+006	1.125e+006	1.125e+006	1.125e+006	179803	1.125e+006	1.125e+006	1.42964e+006	2.11081e+006	2.25e+006	2.25e+006	2.38064e+006	2.76892e+006	3.2697e+006	3.2697e+006	3.44266e+006	3.86456e+006	4.40827e+006	4.75866e+006	5.4144e+006	1.08373e+006	1.55191e+006	1.65864e+006	2.10777e+006	2.51303e+006	2.58782e+006	2.65542e+006	2.90621e+006	3.27161e+006	3.55255e+006	3.62326e+006	3.93539e+006	4.26657e+006	4.82384e+006	5.10685e+006	5.4144e+006
NATCAT	1531.68	29533.2	0	0	0	0	0	0	-0	0	-0	29725.2	77294.5	279908	490804	1.125e+006	1.125e+006	1.125e+006	0	0	0	0	0	0	-0	0	-0	29725.2	77294.5	279908	490804	1.125e+006	1.125e+006	1.125e+006	3063.35	6126.71	7658.39	15316.8	30633.5	38291.9	45954.9	76583.9	153168	304760	367869	578807	781280	1.125e+006	1.125e+006	1.125e+006
GlobalEQ	1298.34	26669.7	0	-0	-0	0	-0	0	-0	0	0	-0	48053.3	240024	431608	1.03162e+006	1.125e+006	1.125e+006	0	-0	-0	0	-0	0	-0	0	0	-0	48053.3	240024	431608	1.03162e+006	1.125e+006	1.125e+006	2596.69	5193.38	6491.72	12983.4	25966.9	32458.6	38954.2	64917.2	129834	259669	319768	517752	710314	1.11138e+006	1.125e+006	1.125e+006
GlobalWS	233.333	12710.1	0	0	0	0	-0	0	0	-0	-0	0	0	0	-0	500550	774118	1.125e+006	0	0	0	0	-0	0	0	-0	-0	0	0	0	-0	500550	774118	1.125e+006	466.666	933.332	1166.67	2333.33	4666.66	5833.33	7000.69	11666.7	23333.3	46666.6	58333.3	116667	233333	801178	1.01974e+006	1.125e+006
LloydsUSWS	24.102	2000.39	0	0	0	-0	-0	0	0	0	0	-0	-0	0	0	44315	102556	410094	0	0	0	-0	-0	0	0	0	0	-0	-0	0	0	44315	102556	410094	48.204	96.4081	120.51	241.02	482.04	602.55	723.133	1205.1	2410.2	4820.4	6025.5	12051	24102	111006	169385	410094
LloydsUCEQ	348.081	14125.6	0	-0	-0	0	-0	0	0	0	0	0	0	0	49570.6	529497	767215	1.125e+006	0	-0	-0	0	-0	0	0	0	0	0	0	0	49570.6	529497	767215	1.125e+006	696.163	1392.33	1740.41	3480.81	6961.63	8702.03	10443.5	17404.1	34808.1	69616.3	87020.3	174041	340276	828862	1.00779e+006	1.125e+006
LCM	1197.96	24739.9	0	-0	-0	-0	-0	0	-0	0	-0	-0	40049.9	209179	424207	895954	1.125e+006	1.125e+006	0	-0	-0	-0	-0	0	-0	0	-0	-0	40049.9	210850	424207	895954	1.125e+006	1.125e+006	2395.93	4791.86	5989.82	11979.6	23959.3	29949.1	35942.5	59898.2	119796	239593	295861	484104	657393	1.06614e+006	1.125e+006	1.125e+006
NonLCM	333.713	16153.8	0	-0	0	0	0	-0	-0	0	-0	0	0	0	-0	670735	1.125e+006	1.125e+006	0	-0	0	0	0	-0	-0	0	-0	0	0	0	-0	670735	1.125e+006	1.125e+006	667.427	1334.85	1668.57	3337.13	6674.27	8342.83	10012.4	16685.7	33371.3	66742.7	83428.3	166857	333713	1.03767e+006	1.125e+006	1.125e+006
AsiaWS	209.231	12552.1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	500550	774118	1.125e+006	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	500550	774118	1.125e+006	418.462	836.924	1046.16	2092.31	4184.62	5230.78	6277.56	10461.6	20923.1	41846.2	52307.8	104616	209231	801178	1.01974e+006	1.125e+006
CatNonGOM	27073	160529	-0	-0	-0	-0	-0	17525.6	132113	687362	1.125e+006	1.125e+006	1.125e+006	1.125e+006	1.125e+006	1.125e+006	1.125e+006	1.125e+006	-0	-0	-0	-0	-0	17525.6	132125	691365	1.125e+006	1.125e+006	1.125e+006	1.125e+006	1.125e+006	1.93855e+006	2.25e+006	2.58564e+006	54146	108292	135365	270730	541460	676557	798219	1.09213e+006	1.16079e+006	1.19659e+006	1.21448e+006	1.30397e+006	1.48293e+006	2.20578e+006	2.28356e+006	2.58564e+006
ChinaEQ	321.828	16066.5	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	670735	1.125e+006	1.125e+006	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	670735	1.125e+006	1.125e+006	643.656	1287.31	1609.14	3218.28	6436.56	8045.7	9655.81	16091.4	32182.8	64365.6	80457	160914	321828	1.03767e+006	1.125e+006	1.125e+006
EuropeEQ	3.12308	610.963	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	155896	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	155896	6.24616	12.4923	15.6154	31.2308	62.4616	78.077	93.7018	156.154	312.308	624.616	780.77	1561.54	3123.08	15615.4	31230.8	155896
JapanEQ	616.549	15870.3	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	68978.3	266209	541442	648799	1.08411e+006	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	68978.3	266209	541442	648799	1.08411e+006	1233.1	2466.2	3082.75	6165.49	12331	15413.7	18498.3	30827.5	61654.9	123310	154137	296456	443005	715002	851393	1.08411e+006
Noncat	522949	689343	0	0	0	0	0	0	-0	-0	-0	-0	-0	0	0	0	-0	0	142515	1.125e+006	1.125e+006	1.36376e+006	1.99516e+006	2.24903e+006	2.25e+006	2.31401e+006	2.67203e+006	3.15761e+006	3.2697e+006	3.39738e+006	3.77174e+006	4.30272e+006	4.75866e+006	5.4144e+006	1.03262e+006	1.51163e+006	1.60829e+006	2.03661e+006	2.45794e+006	2.54259e+006	2.60115e+006	2.83012e+006	3.19488e+006	3.50819e+006	3.57693e+006	3.86848e+006	4.21025e+006	4.78972e+006	5.10685e+006	5.4144e+006
TaiwanEQ	8.76225	1565.15	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	333455	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	333455	17.5245	35.049	43.8112	87.6225	175.245	219.056	262.894	438.112	876.225	1752.45	2190.56	4381.12	8762.25	43811.2	87622.5	333455
USEQComb	348.081	14125.6	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	49570.6	529497	767215	1.125e+006	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	49570.6	529497	767215	1.125e+006	696.163	1392.33	1740.41	3480.81	6961.63	8702.03	10443.5	17404.1	34808.1	69616.3	87020.3	174041	340276	828862	1.00779e+006	1.125e+006
CAEQ	332.313	14029.1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	35506	529497	767215	1.125e+006	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	35506	529497	767215	1.125e+006	664.625	1329.25	1661.56	3323.13	6646.25	8307.81	9970.37	16615.6	33231.3	66462.5	83078.1	166156	329733	828862	1.00779e+006	1.125e+006
PNWEQ	15.1385	1644.98	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	64752.3	307868	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	64752.3	307868	30.2769	60.5538	75.6923	151.385	302.769	378.461	454.199	756.923	1513.85	3027.69	3784.61	7569.23	15138.5	75692.3	146543	307868
USEQ	0.630359	144.549	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	38684.4	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	38684.4	1.26072	2.52144	3.15179	6.30359	12.6072	15.759	18.9127	31.5179	63.0359	126.072	157.59	315.179	630.359	3151.79	6303.59	38684.4
USWS	24.102	2000.39	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	44315	102556	410094	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	44315	102556	410094	48.204	96.4081	120.51	241.02	482.04	602.55	723.133	1205.1	2410.2	4820.4	6025.5	12051	24102	111006	169385	410094
GMWS	24.102	2000.39	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	44315	102556	410094	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	44315	102556	410094	48.204	96.4081	120.51	241.02	482.04	602.55	723.133	1205.1	2410.2	4820.4	6025.5	12051	24102	111006	169385	410094
