eventId	deterministicLoss	expectedLoss	SD	0.5	0.8	0.9	0.96	0.98	0.99	0.995	0.996	0.999	0.9998	0.9999
15542152	1.96e+007	1.95817e+007	488199	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542305	1.96e+007	1.95997e+007	25729.9	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542402	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542554	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542590	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542606	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542624	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542667	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542700	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542775	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542788	1.96e+007	1.83548e+007	4.30492e+006	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542807	1.96e+007	1.90726e+007	2.78024e+006	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542849	1.96e+007	1.95756e+007	574796	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542911	1.96e+007	1.95943e+007	295315	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542916	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542944	1.96e+007	1.93605e+007	1.84339e+006	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542953	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15542986	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15543149	1.96e+007	1.8021e+007	4.89042e+006	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15543186	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15543205	1.96e+007	1.81554e+007	4.59695e+006	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15543213	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15543383	1.96e+007	1.95992e+007	61189.9	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15543949	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15547385	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15548929	785654	747024	2.35732e+006	2418.78	420958	1.86734e+006	5.49447e+006	9.04534e+006	1.32526e+007	1.81881e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15549161	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15550543	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15560440	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15561024	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15562741	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15563571	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15564329	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15567485	1.96e+007	1.21911e+007	8.7888e+006	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15569196	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
15590381	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141185	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141188	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141192	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141194	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141196	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141197	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141198	1.96e+007	1.95983e+007	151490	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141199	1.96e+007	1.95966e+007	204710	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141201	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141210	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141213	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141214	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141218	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141225	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
25141229	1.96e+007	1.96e+007	13.9553	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007	1.96e+007
